qid,label,desc,sitelinks,date,image,country
Q2283,Microsoft,American multinational technology corporation,178,1976-11-26T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Microsoft%20logo%20%282012%29.svg,United States of America
Q95,Google,American multinational Internet and technology corporation,168,1998-09-04T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Google%202015%20logo.svg,United States of America
Q312,Apple Inc.,"American technology company based in Cupertino, California",161,1976-04-01T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Apple%20logo%20black.svg,United States of America
Q1422,Juventus F.C.,"association football club in Turin, Italy",125,1897-11-01T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Juventus%20FC%202017%20icon%20%28black%29.svg,Italy
Q7414,The Walt Disney Company,American diversified multinational mass media corporation,124,1923-10-16T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/The%20Walt%20Disney%20Company%20Logo.svg,United States of America
Q38076,McDonald’s,American fast food restaurant chain,112,1940-05-15T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/McDonald%27s%20Golden%20Arches.svg,United States of America
Q37156,IBM,American multinational technology and consulting corporation,109,1911-06-16T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/IBM%20logo.svg,United States of America
Q3884,Amazon,American electronic commerce and cloud computing company,106,1994-07-05T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Amazon%20logo.svg,United States of America
Q26678,BMW,"German automotive manufacturer, and conglomerate",106,1916-03-07T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/BMW%20logo%20%28white%20%2B%20grey%20background%20square%29.svg,Germany
Q907311,Netflix,American multinational entertainment company,102,1997-08-29T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Netflix%202015%20logo.svg,United States of America
Q41187,Sony,Japanese multinational conglomerate corporation,101,1946-05-07T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Sony%20logo.svg,Japan
Q53268,Toyota,Japanese automotive brand manufacturer,101,1937-08-28T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Toyota.png,Japan
Q67,Airbus,European aircraft manufacturer,99,1969-12-18T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Airbus%20Logo%202017.svg,France|United Kingdom|Germany
Q8093,Nintendo,Japanese multinational video game and consumer electronics company,99,1889-09-23T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Nintendo.svg,Japan
Q66,Boeing,aerospace and defense manufacturer in the United States,95,1916-07-15T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Boeing%20full%20logo.svg,United States of America
Q9584,Honda,"manufacturer of automobiles, motorcycles, and power equipment",93,1948-09-24T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Honda.svg,Japan
Q248,Intel,American semiconductor chip manufacturer,93,1968-07-18T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Intel%20logo%20%282020%2C%20dark%20blue%29.svg,United States of America
Q44294,Ford Motor Company,automotive brand manufacturer,92,1903-06-16T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Ford%20logo%20flat.svg,United States of America
Q191615,Pizza Hut,American restaurant chain and international franchise,92,1958-06-15T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Pizza%20Hut%20international%20logo%2C%202008%E2%80%932016.svg,United States of America
Q6686,Renault,automotive conglomerate,88,1898-12-24T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Renault%202021.svg,Japan
Q193701,SpaceX,American space transport company,86,2002-05-06T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Entrance%20to%20SpaceX%20headquarters.jpg,United States of America
Q58024,eBay,American multinational internet corporation that manages eBay.com,84,1995-09-03T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/EBay%20logo.svg,United States of America
Q8901,European Central Bank,Central bank for the euro,83,1998-06-01T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Logo%20European%20Central%20Bank.svg,Germany
Q83164,East India Company,English joint-stock company formed for pursuing trade with the East Indies,82,1600-12-31T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20the%20British%20East%20India%20Company%20%281801%29.svg,
Q131005,Air France,flag-carrier and largest airline in France,81,1933-10-07T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Air%20France%20A380%20F-HPJA.jpg,France
Q11463,Adobe,American multinational computer software company,81,1982-02-28T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Adobe%20Corporate%20logo.svg,United States of America
Q20165,Nissan,Japanese automobile manufacturer,81,1933-12-26T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Nissan%20Motor%20Corporation%202020%20logo.svg,Japan
Q80978,Hewlett-Packard,American multinational information technology corporation,79,1939-01-01T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/HP%20Headquarters%20Palo%20Alto.jpg,United States of America
Q40966,Opel,"German automotive brand, subsidiary of Stellantis",79,1862-01-21T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Opel-Logo%202017.svg,Germany
Q35886,Lamborghini,Italian car manufacturer,79,1948-03-11T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Lamborghini%20logo%202.svg,Italy
Q37158,Starbucks,American multinational coffee company,78,1971-03-30T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Starbucks%20%2822331380%29.jpg,United States of America
Q30873,Dell Inc.,American multinational computer technology corporation,77,1984-02-01T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Dell%20logo%202016.svg,United States of America
Q81230,Siemens,German multinational conglomerate,76,1847-10-01T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Siemens%20M%C3%BCnchen%20Martinstr.jpg,Germany
Q483551,Walmart,U.S. discount retailer based in Arkansas,76,1962-07-02T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Walmart%20Home%20Office.jpg,United States of America
Q483915,Nike,American athletic equipment company,75,1964-01-25T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Nikeworldheadquarters.jpg,United States of America
Q1636958,Xiaomi,Chinese electronics company,75,2010-04-06T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Xiaomi%20logo.svg,People's Republic of China
Q47099,Televisa,Mexicana media company,75,1973-01-08T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Logotipo%20de%20Televisa.svg,
Q213660,LinkedIn,social networking website for people in professional occupations,74,2002-12-28T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Linkedin%20screenshot.png,United States of America
