qid,label,desc,sitelinks,date,image,country
Q11252497,Bad Cat,2016 animated film by Mehmet Kurtuluş and Ayşe Ünal,125,2016-02-05T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Bad%20Cat%20logo.jpg,Turkey
Q36479,The Lion King,1994 American animated film,120,1994-06-15T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/The%20Lion%20King%20logo.svg,United States of America
Q44578,Titanic,1997 American romantic disaster film directed by James Cameron,117,1997-11-01T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Titanic%20%281997%20film%29%20logo.svg,United States of America
Q47703,The Godfather,1972 American film directed by Francis Ford Coppola,115,1972-03-15T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/The%20Godfather.png,United States of America|Italy
Q24871,Avatar,2009 American epic science fiction film directed by James Cameron,113,2009-12-16T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Avatar-Logo-avatar.svg,United States of America
Q40302,The Fox and the Hound,1981 American animated buddy drama film produced by Walt Disney Productions,112,1981-07-10T00:00:00Z,,United States of America
Q134773,Forrest Gump,1994 American film directed by Robert Zemeckis,111,1994-06-23T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Snap%20from%20Wax%20Museum%20at%20Innovative%20Film%20city%20Bangalore%20144344.jpg,United States of America
Q134430,Snow White and the Seven Dwarfs,1937 American animated film produced by Walt Disney Productions,109,1937-12-21T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Snow%20white%201937%20trailer%20screenshot.jpg,United States of America
Q43051,Bambi,1942 American animated Disney drama film directed by David Hand,103,1942-08-14T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Bambi%20Logo%20Black.svg,United States of America
Q190135,The Little Mermaid,1989 American animated musical fantasy film produced by Walt Disney Feature Animation,102,1989-11-17T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/The%20Little%20Mermaid%20logo.svg,United States of America
Q246283,Frozen,2013 American computer animated film,102,2013-11-10T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Frozen%20Logo%20Black.svg,United States of America
Q83495,The Matrix,1999 American science fiction action thriller film,100,1999-03-31T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/The-matrix-logo.svg,United States of America|Australia
Q191753,Cinderella,1950 American animated musical fantasy film produced by Walt Disney,99,1950-02-15T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/1950%20is%20the%20Cinderella%20year.jpg,United States of America
Q40895,Dumbo,1941 American animated film produced by Walt Disney,97,1941-10-23T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Dumbo%20Logo.png,United States of America
Q39722,The Rescuers,1977 American animated film produced by Walt Disney Productions,96,1977-06-19T00:00:00Z,,United States of America
Q104123,Pulp Fiction,1994 American crime film directed by Quentin Tarantino,95,1994-05-21T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Pulp%20Fiction%20Logo.png,United States of America
Q172241,The Shawshank Redemption,1994 American drama film directed by Frank Darabont,95,1994-09-10T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/WestPlayaPrincipalZihua.JPG,United States of America
Q172284,Lady and the Tramp,1955 American animated romantic musical comedy-drama film produced by Walt Disney,94,1955-06-16T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Lady%20and%20the%20Tramp%20Logo.svg,United States of America
Q216929,Oliver & Company,1988 American animated musical film produced by Walt Disney Feature Animation,94,1988-11-18T00:00:00Z,,United States of America
Q163872,The Dark Knight,2008 British-American superhero film directed by Christopher Nolan,93,2008-07-18T00:00:00Z,,United States of America
Q37785,Charlotte's Web,1973 American animated musical drama film produced by Hanna-Barbera Productions,92,1973-02-22T00:00:00Z,,United States of America
Q179673,Beauty and the Beast,1991 American animated musical fantasy romance film,91,1991-11-22T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Beauty%20And%20The%20Beast%20-%20Official%20Logo.jpg,United States of America
