qid,label,desc,sitelinks,date,image,country
Q74287,The Hobbit,fantasy novel by J. R. R. Tolkien,101,1937-09-21T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/The%20Hobbit%20-%20title%20page%20of%20first%20American%20print.jpg,United Kingdom
Q1396889,Animal Farm,novel by George Orwell,101,1945-08-17T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Animal%20Farm%20-%201st%20edition.jpg,England
Q43361,Harry Potter and the Philosopher's Stone,fantasy novel by J. K. Rowling,97,1997-06-26T00:00:00Z,,United Kingdom
Q483034,Robinson Crusoe,novel by Daniel Defoe,91,1719-04-25T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Robinson%20Crusoe%201719%201st%20edition.jpg,United Kingdom
Q44042,Das Lied der Deutschen,"German patriotic song, part of which makes up the national anthem",91,1841-10-05T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Nationalhymne%20der%20Bundesrepublik%20Deutschland.svg,Germany
Q47209,Harry Potter and the Chamber of Secrets,fantasy novel by J. K. Rowling,89,1998-07-02T00:00:00Z,,United Kingdom
Q170583,Pride and Prejudice,novel by Jane Austen,88,1813-01-27T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/PrideAndPrejudiceTitlePage.jpg,United Kingdom|Great Britain|United Kingdom of Great Britain and Ireland
Q46887,Harry Potter and the Half-Blood Prince,fantasy novel by J. K. Rowling,85,2005-07-16T00:00:00Z,,United Kingdom
Q46758,Harry Potter and the Deathly Hallows,fantasy novel by J. K. Rowling concluding the Harry Potter series,84,2007-07-21T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Harry%20Potter%20i%20les%20reliquies%20de%20la%20mort.jpg,United Kingdom
Q47598,Harry Potter and the Prisoner of Azkaban,fantasy novel by J. K. Rowling,84,1999-07-08T00:00:00Z,,United Kingdom
Q46751,Harry Potter and the Goblet of Fire,fantasy novel by J. K. Rowling,84,2000-07-08T00:00:00Z,,United Kingdom
Q80817,Harry Potter and the Order of the Phoenix,fantasy novel by J. K. Rowling,83,2003-06-21T00:00:00Z,,United Kingdom
Q83099,Jana Gana Mana,national anthem of India,83,1911-12-27T00:00:00Z,,British India
Q235311,Doraemon,Japanese manga series,79,1969-12-15T00:00:00Z,,Japan
Q251918,National Anthem of the Soviet Union,"National anthem of the USSR, 1944 to 1991",78,1944-01-01T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20the%20Soviet%20Union.svg,Soviet Union
Q890,Gangnam Style,single made in 2012 by South Korean Singer: PSY,77,2012-07-15T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Psy%20does%20Gangnam%20Style%20at%20KIIS%20FM%20Jingle%20Ball%202012.jpg,
Q174596,Moby-Dick,novel by American writer Herman Melville,77,1851-10-18T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Moby-Dick%20FE%20title%20page.jpg,United States of America
Q6511,Ulysses,novel by the Irish author James Joyce,75,1922-02-02T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/UlyssesCover.jpg,United States of America|France|French Third Republic|United Kingdom of Great Britain and Ireland
Q183883,The Catcher in the Rye,novel by J. D. Salinger,75,1951-07-23T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Catcher-in-the-rye-red-cover.jpg,United States of America
Q11859,The Little Mermaid,fairy tale by H. C. Andersen,72,1837-04-07T00:00:00Z,,Denmark
Q41542,Dracula,1897 Gothic horror novel by Irish author Bram Stoker,72,1897-05-26T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Dracula-First-Edition-1897.jpg,United Kingdom of Great Britain and Ireland
Q214371,The Great Gatsby,novel by F. Scott Fitzgerald,72,1925-04-10T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/The%20Great%20Gatsby%20Cover%201925%20Retouched.jpg,United States of America
Q62879,A Christmas Carol,"novella by the English author Charles Dickens, first published in 1843",67,1843-12-19T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Charles%20Dickens-A%20Christmas%20Carol-Title%20page-First%20edition%201843.jpg,England
Q2222,Uncle Tom's Cabin,anti-slavery novel by Harriet Beecher Stowe,65,1852-03-20T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/UncleTomsCabinCover.jpg,United States of America
Q22726,The Raven,narrative poem,63,1845-01-29T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Tenniel-TheRaven.jpg,United States of America
Q191380,The Hunchback of Notre Dame,"novel by Victor Hugo, 1831",60,1831-01-14T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Victor%20Hugo-Hunchback.jpg,France
Q130295,The Wonderful Wizard of Oz,1900 children's novel by L. Frank Baum,59,1900-05-17T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Wizard%20title%20page.jpg,United States of America
Q200920,For Whom the Bell Tolls,Novel by Ernest Hemingway from 1940,58,1940-10-21T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Por%20qui%C3%A9n%20doblan%20las%20campanas.jpg,United States of America
Q19005,Madama Butterfly,opera by Giacomo Puccini,58,1904-02-15T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Leopoldo%20Metlicovitz%2C%201904%20-%20Madama%20Butterfly.jpg,Italy
Q1751870,A Game of Thrones,novel by George R. R. Martin,56,1996-08-06T00:00:00Z,,United States of America
Q208002,The Fellowship of the Ring,1954 book by J. R. R. Tolkien,56,1954-07-29T00:00:00Z,,United Kingdom
Q189562,Fullmetal Alchemist,Japanese manga series,56,2001-07-12T00:00:00Z,,Japan
Q190192,Dune,1965 science fiction novel by Frank Herbert,56,1965-12-01T00:00:00Z,,United States of America
Q11868,The Ugly Duckling,Fairy tale by Hans Christian Andersen,55,1843-11-11T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Het%20leelijke%20jonge%20eendje.jpg,Denmark
Q28572509,Despacito,2017 single by Luis Fonsi ft. Daddy Yankee,54,2017-01-12T00:00:00Z,,
Q233562,The Wealth of Nations,1776 work on economics by Adam Smith,54,1776-03-09T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Wealth%20of%20Nations.jpg,United Kingdom
Q11678,The Hunger Games,2008 novel by Suzanne Collins,52,2008-09-14T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/The%20hunger%20games.svg,United States of America
Q11866,The Emperor's New Clothes,fairytale by Hans Christian Andersen,51,1837-04-07T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Emperor%20Clothes%2001.jpg,Denmark
Q185449,Eragon,2002 Book by Christopher Paolini,51,2003-08-26T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Christopher%20Paolini%2C%20Eragon%201.jpg,United States of America
Q215983,The Grapes of Wrath,1939 American realist novel by John Steinbeck,50,1939-04-14T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/The%20Grapes%20of%20Wrath%20%281939%201st%20ed%20cover%29.jpg,United States of America
Q11880,The Snow Queen,Fairy tale by Hans Christian Andersen,49,1844-12-21T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Rudolf%20Koivu%20-%20Lumikuningatar.jpg,Denmark
Q332388,The Two Towers,1954 novel by J. R. R. Tolkien,49,1954-11-11T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Morannon.jpg,United Kingdom
Q271764,Lord of the Flies,1954 novel by William Golding,48,1954-09-18T00:00:00Z,,United Kingdom
Q741304,J’accuse…!,public letter by Émile Zola in 1898,47,1898-01-13T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/J%E2%80%99accuse.jpg,
Q153064,Bad Romance,Lady Gaga song,46,2009-10-25T00:00:00Z,,United States of America
Q192023,Stairway to Heaven,original song written and composed by Jimmy Page and Robert Plant; first recorded by Led Zeppelin,46,1971-11-08T00:00:00Z,,
Q27863,Sword Art Online,Japanese light novel series,46,2009-04-10T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Sword%20Art%20Online%20anime%20logo.svg,Japan
Q243556,The Godfather,1969 novel by Mario Puzo,46,1969-03-10T00:00:00Z,,United States of America
Q332581,The Return of the King,1955 novel by J. R. R. Tolkien,45,1955-10-20T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Minas-Tirith-Rama-c.svg,United Kingdom
